Pandals,City,State,Address,Information,Year of Establishment,Website
Ganesh Galli (Mumbaicha Raja),Mumbai,Maharashtra,"1, Ganesh Nagar Ln, Lal Baug, Parel, Mumbai, Maharashtra 400012","In Mumbai's well-known Ganesh Galli, you can see the famous Mumbaicha Raja Ganesh idol. The Mandal is famed for its one-of-a-kind themes. It is the oldest pandal in the Lalbaug area, built-in 1928 for mill workers.",1928,http://www.mumbaicharaja.co/
Tejukayacha Raja,Mumbai,Maharashtra,"XRWP+6FH, Tejukaya Building, Tejukaya, Dr Babasaheb Ambedkar Rd, Ganesh Gully, Lal Baug, Mumbai, Maharashtra 400012","Tejukaya Sarvajanik Ganeshutsav Mandal, famously known as Tejukayacha Raja Ganesh, is one of Mumbai's famous Ganesh pandals. The pandal is well known for its unique Ganesha idol.",1959,-
Lalbaugcha Raja Ganeshotsav Mandal,Mumbai,Maharashtra,"Putlabai Chawl, Lalbaug, Lal Baug, Parel, Mumbai, Maharashtra 400012","The pandal, founded in 1943, is one of the most well-known. Several carving patterns for the pandal are patentable. With devotees travelling from all over the country to see the Ganesha idol, the waiting time can sometimes exceed 24 hours. ",1934,https://lalbaugcharaja.com/en/
Chinchpoklica Chintamani,Mumbai,Maharashtra,"Chinchpoklicha Chintamani, Chinchpokli, Mumbai, Maharashtra 400012","The 23-foot Chinchpoklicha Chintamani Ganesh idol attracts devotees from across the corner; it was recently unveiled in Mumbai in front of a large gathering. This pandal is beneath the Chinchpokli flyover. In 1920, the first Chinchpoklicha Chintamani was placed.",1920,-
Khetwadi Ganraj,Mumbai,Maharashtra,"Grant Road Khetwadi Back Road & 12th lane Sarvajanik Ganeshotsav Mandal 17, Cambhay House, Shop, No. 8, 12th Khetwadi Lane, Mumbai, Maharashtra 400004","Khetwadi Ganraj is one of Mumbai's oldest pandals. This pandal, which was established in 1959, hosts a variety of religious performances and cultural programmes.",1959,https://khetwadi-cha-ganraj.business.site/?utm_source=gmb&utm_medium=referral
GSB Seva Mandal Ganpati,Mumbai,Maharashtra,"GSB Seva Mandal Hall, Air Force Quarters, Sion, Mumbai, Maharashtra 400022","The pandal, located in Mumbai's King's Circle, is one of the most expensive pandals in terms of value. At the pandal, hundreds of kilogrammes of ornaments adorn the Ganpati idol. According to reports, the GSB Seva Pandal purchased the most expensive insurance cover this year, totalling more than Rs 300 crores.",1951,https://gsbsevamandal.org/
Andhericha Raja,Mumbai,Maharashtra,"4RHP+WH8, Azadnagar Sarvajanik Utsav Samiti, Ganesh Maidan, Azad Nagar II, Veera Desai Rd, Andheri West, Mumbai, Maharashtra 400053","The Andehricha Raja Pandal, founded in 1966 by Tata Special Steel and Excel Industries, is one of Maharashtra's most popular pandals. Many celebrities can be sported in the crowd.",1966,http://www.andhericharaja.com/
Keshavji Naik Chawl Ganpati,Mumbai,Maharashtra,"Khadilkar Rd, Kandawadi, Urankawadi, Mangal Wadi, Girgaon, Mumbai, Maharashtra 400004","The oldest Ganpati mandal in Mumbai, was established in 1893, the same year Bal Gangadhar Tilak first celebrated Ganesh Puja as a community festival in the city. Mumbai’s first Sarvajanik Ganpati, it is celebrating its 129th year this Ganesh Utsav.
Known for its traditional and eco-friendly celebrations, the Ganpati mandal is set up in the small, open space between chawl number 1 and 2 in Keshavji Naik Chawl. The idol has always been of 20-feet height and is made by Rajendra More, a fourth-generation idol maker based in Mumbai. More’s family has been making the idol for this mandal since it was established by Naharshastri Godse, a close family friend of Tilak. He made it in response to the freedom fighter’s appeal for community celebration of the festival. Tilak visited it in 1901",1893,-
Sahyadri Krida Mandal (Tilak Nagar),Mumbai,Maharashtra,"Sahyadri Krida Mandal, 18, Rd Number 12, Chembur West, Tilak Nagar, Chembur, Mumbai, Maharashtra 400089","Gigantic decoration sets like replica of Pune's historic palace called Shaniwar Wada, Mysore palace and Red fort, and the Bollywood glamour is what brings people to this utsav. Celebrities like Anil Kapoor; who has spent his childhood in Tilak Nagar, Jackie Shroff, Suniel Shetty even form a line to visit the lord. Apart from ganesh utsav, the mandal has raised funds for Kargil war. They also indulge in other social activities like Sarvajanik Holi, felicitating merit rankers and many other events.",1977,-
Gamdevi Ganesh Utsav Mandal (Gamdevi Phoolancha Raja),Mumbai,Maharashtra,"XR57+Q4P, Gamdevi , H.G.Road, Grant Road West, Gamdevi, Mumbai, Maharashtra 400007","The mandal is very old and has lot of followers who visit the Lord every year to get his blessings. High-profile people such as Tina Ambani, Uddhav Thackeray and many others visit the pandal.",1931,-
Khattar Galli Ganpati,Mumbai,Maharashtra,"Dakshin Mumbai Cha Mahaganapati, 58 First Khattar Galli, Thakurdwar, Girgaon, near Charni Road Station, Mumbai, Maharashtra 400002","1st Khattar Galli Sarvajanik Ganeshotsav Mandal founded in 1965, shares the pride of its 12ft. long Eco Friendly idol of Lord Ganesh. We use pure clay and water colors maintaining our tradition of this festival. The specialty of this idol is its sparkling eyes which are hand drawn by an artist with just a set of water colors. We strongly believe in the basic concept of this festival and therefore all the decorations are handcrafted by localite youngsters and children of 1st Khattar Galli and celebrate with full joy and unity.",1965,http://www.dakshinmumbaichamahaganpati.com/
Girgaoncha Raja Ganesh Mandal,Mumbai,Maharashtra,"XR3C+X97, Nikadwari Ln, Kotachi Wadi, Ambewadi, Girgaon, Mumbai, Maharashtra 400004","The 82-year-old Nikadvari Lane Sarvajanik Ganesh Mandal, popularly called as Girgaoncha Raja, is famous for its 25-feet long eco-friendly Ganpati idol. In 1938 Ramchandra Tendulkar started the Ganesh Utsav and the Patkar family has been making the Ganesh idols since its inception.",1938,-
Mazgaoncha Raja ,Mumbai,Maharashtra,"XRFR+7QP, Anjeer Wadi, Thakkar Estate, Byculla, Mumbai, Maharashtra 400010",The mandal is very old and has lot of followers who visit the Lord every year to get his blessings. High-profile people visit the pandal.,1947,-
Dagadusheth Halwai,Pune,Maharashtra,"Ganpati Bhavan, 250, Chhatrapati Shivaji Maharaj Rd, Mehunpura, Budhwar Peth, Pune, Maharashtra 411002",This temple is located in Pune and attracts Maharashtra's politicians and celebrities during the 10-day celebrations.,1893,https://www.dagdushethganpati.com/
Kesari Wada Ganpati,Pune,Maharashtra,"577, NC Kelkar Road, Narayan Peth, Pune, Maharashtra 411030","The Paanch Manache Ganpati, also known as the Kesari Wada Ganpati, is one of India's oldest temples and has blessed Pune for many years.",1894,-
Guruji Talim ,Pune,Maharashtra,"184, Laxmi Rd, Tulshibaug, Budhwar Peth, Pune, Maharashtra 411002",Guruji Talim is ranked third among Pune's renowned Ganpati. The Shinde and Nalban families created the idol representing the city's harmony between Hindus and Muslims. Pune residents herd to this Ganpati pandal to witness the opulent procession and visarjan.,1887,-
